amount,transaction_frequency,transaction_hour,location_mismatch,device_change,account_age_days,previous_transaction_count,failed_transaction_count,international_transaction,unusual_transaction,is_fraud
6031.3,5,16,0,0,235,8,0,0,1,0
1571.86,7,15,0,0,110,6,2,0,0,0
9418.69,8,9,1,0,219,10,0,0,0,0
11390.84,4,18,0,0,222,9,1,0,0,0
632.05,6,17,0,0,317,15,0,0,0,0
1209.33,10,7,0,0,255,16,0,0,0,0
5053.52,5,17,0,0,393,12,0,0,0,0
3241.39,6,22,0,0,71,6,0,0,0,0
4372.98,4,19,1,0,254,15,0,0,0,0
1894.97,5,17,0,0,252,12,1,0,0,0
10714.98,9,18,0,0,576,27,1,0,0,0
9679.76,9,19,0,0,160,5,1,0,0,0
4750.62,7,6,0,0,153,8,0,0,0,0
13728.66,7,17,0,0,344,17,1,1,0,0
7097.58,10,4,1,0,601,27,0,0,0,0
1883.16,8,8,0,1,14,2,0,0,0,0
6430.13,6,22,0,0,558,14,0,1,0,0
1704.65,7,6,0,0,500,14,0,0,0,0
10704.83,7,20,0,0,320,16,0,0,0,0
4230.49,5,10,0,0,383,21,0,0,0,0
3696.48,4,5,0,1,682,33,0,0,0,0
2250.87,8,2,0,0,221,9,0,0,0,0
15101.38,7,13,0,0,101,3,0,0,0,0
3810.33,5,10,0,0,502,29,0,0,0,0
2897.7,3,12,0,0,473,27,0,1,1,0
3127.12,8,1,0,0,45,1,1,0,1,1
7572.73,2,6,0,0,928,43,0,0,0,0
6408.91,5,0,0,0,451,18,0,0,0,0
6719.26,9,7,0,0,168,12,0,0,0,0
6841.9,10,22,0,0,478,24,1,0,0,0
37859.89,6,3,0,0,433,19,0,1,1,1
2961.9,6,16,0,0,246,14,0,0,0,0
2664.46,4,0,0,0,380,21,1,0,0,0
1970.86,12,13,0,0,382,20,0,0,0,0
8233.61,7,22,0,1,351,15,1,0,0,0
13752.45,9,8,0,0,329,16,0,0,0,0
3968.14,3,4,0,0,437,29,0,0,0,0
1919.55,7,13,0,0,391,14,0,0,0,0
1949.87,7,6,0,1,222,9,1,0,0,0
8523.59,8,21,0,0,141,7,0,0,0,0
9351.15,6,20,0,0,378,19,0,0,0,0
7655.31,4,15,0,0,555,28,0,1,0,0
2285.84,4,15,0,0,368,19,0,0,0,0
5609.19,5,14,0,0,219,12,0,1,0,0
4997.46,8,17,0,0,67,0,0,1,0,0
5534.12,12,11,0,1,948,55,1,1,0,0
10629.93,2,23,0,0,459,18,0,0,0,0
5561.35,8,8,1,0,436,26,0,0,0,0
8768.43,5,0,0,0,248,14,1,0,0,0
4757.98,6,16,0,0,70,3,1,0,0,0
5937.95,4,15,0,0,208,15,0,0,0,0
8360.62,6,23,0,0,852,48,0,0,1,0
1035.71,7,9,0,0,115,3,1,0,0,0
3230.3,9,10,0,0,56,1,0,0,1,0
2778.39,4,13,0,0,940,55,0,0,0,0
2347.54,4,9,0,0,171,6,0,0,0,0
3377.39,4,18,0,0,294,10,0,0,0,0
19829.8,5,10,0,0,441,23,0,0,0,0
1870.89,5,18,0,0,1138,60,0,0,0,0
11710.94,4,10,0,0,839,44,0,0,0,0
826.44,7,5,0,0,322,7,1,0,1,0
3181.52,6,23,0,0,218,6,0,0,0,0
5233.07,7,12,0,0,129,9,0,0,0,0
7992.21,9,16,0,0,464,19,1,0,0,0
9056.4,2,14,0,0,369,19,0,0,0,0
9831.5,9,8,0,0,65,3,0,0,1,0
3137.79,7,23,0,0,293,12,0,0,0,0
2800.77,7,8,0,0,376,15,0,0,0,0
10487.88,8,23,1,0,493,25,0,0,0,0
3672.75,7,10,0,1,151,8,0,0,0,0
1241.8,9,0,0,0,384,15,0,0,0,0
1431.84,8,0,0,0,126,7,1,0,0,0
1773.21,4,23,0,0,441,18,1,0,0,0
7311.19,3,12,0,1,286,12,1,0,0,0
5127.77,4,9,0,0,1194,63,0,0,0,0
8870.49,5,19,0,0,176,6,0,0,0,0
2900.82,3,14,0,1,235,20,1,0,0,0
5211.07,10,15,0,0,69,3,1,0,0,0
